"dimensionKey	",price
12X24,Standard Part # Use PriceBook or Portal
15X20,Standard Part # Use PriceBook or Portal
15X24,Standard Part # Use PriceBook or Portal
16X16,Standard Part # Use PriceBook or Portal
16X18,Standard Part # Use PriceBook or Portal
16X20,Standard Part # Use PriceBook or Portal
16X24,Standard Part # Use PriceBook or Portal
16X25,Standard Part # Use PriceBook or Portal
18X24,Standard Part # Use PriceBook or Portal
20X20,Standard Part # Use PriceBook or Portal
20X24,Standard Part # Use PriceBook or Portal
20X25,Standard Part # Use PriceBook or Portal
24X24,Standard Part # Use PriceBook or Portal
25X25,Standard Part # Use PriceBook or Portal
24x12,Standard Part # Use PriceBook or Portal
20x15,Standard Part # Use PriceBook or Portal
18x16,Standard Part # Use PriceBook or Portal
20x16,Standard Part # Use PriceBook or Portal
24x16,Standard Part # Use PriceBook or Portal
25x16,Standard Part # Use PriceBook or Portal
24x18,Standard Part # Use PriceBook or Portal
24x20,Standard Part # Use PriceBook or Portal
25x20,Standard Part # Use PriceBook or Portal
